"state","year","gstpp"
"Alabama",1970,2
"Alabama",1971,2
"Alabama",1972,1
"Alabama",1973,2
"Alabama",1974,2
"Alabama",1975,2
"Alabama",1976,2
"Alabama",1977,2
"Alabama",1978,2
"Alabama",1979,2
"Alabama",1980,2
"Alabama",1981,2
"Alabama",1982,3
"Alabama",1983,3
"Alabama",1984,3
"Alabama",1985,3
"Alabama",1986,4
"Alabama",1987,4
"Alabama",1988,5
"Alabama",1989,5
"Alabama",1990,7
"Alabama",1991,7
"Alabama",1992,7
"Alabama",1993,6
"Alabama",1994,6
"Alabama",1995,6
"Alabama",1996,7
"Alabama",1997,8
"Alabama",1998,8
"Alabama",1999,11
"Alabama",2000,12
"Alabama",2001,13
"Alabama",2002,13
"Alabama",2003,13
"Alabama",2004,14
"Alabama",2005,14
"Alabama",2006,14
"Alabama",2007,15
"Alabama",2008,15
"Alabama",2009,18
"Alabama",2010,19
"Alabama",2011,19
"Alabama",2012,19
"Alabama",2013,20
"Alabama",2014,20
"Alaska",1970,0
"Alaska",1971,0
"Alaska",1972,0
"Alaska",1973,0
"Alaska",1974,0
"Alaska",1975,0
"Alaska",1976,0
"Alaska",1977,0
"Alaska",1978,0
"Alaska",1979,0
"Alaska",1980,0
"Alaska",1981,0
"Alaska",1982,0
"Alaska",1983,0
"Alaska",1984,0
"Alaska",1985,0
"Alaska",1986,0
"Alaska",1987,0
"Alaska",1988,0
"Alaska",1989,0
"Alaska",1990,0
"Alaska",1991,0
"Alaska",1992,0
"Alaska",1993,0
"Alaska",1994,0
"Alaska",1995,0
"Alaska",1996,0
"Alaska",1997,0
"Alaska",1998,0
"Alaska",1999,0
"Alaska",2000,0
"Alaska",2001,0
"Alaska",2002,0
"Alaska",2003,0
"Alaska",2004,0
"Alaska",2005,0
"Alaska",2006,0
"Alaska",2007,0
"Alaska",2008,0
"Alaska",2009,0
"Alaska",2010,0
"Alaska",2011,0
"Alaska",2012,0
"Alaska",2013,0
"Alaska",2014,0
"Arizona",1970,1
"Arizona",1971,1
"Arizona",1972,1
"Arizona",1973,1
"Arizona",1974,2
"Arizona",1975,2
"Arizona",1976,2
"Arizona",1977,2
"Arizona",1978,2
"Arizona",1979,2
"Arizona",1980,3
"Arizona",1981,3
"Arizona",1982,3
"Arizona",1983,4
"Arizona",1984,5
"Arizona",1985,5
"Arizona",1986,6
"Arizona",1987,6
"Arizona",1988,7
"Arizona",1989,7
"Arizona",1990,7
"Arizona",1991,8
"Arizona",1992,9
"Arizona",1993,8
"Arizona",1994,8
"Arizona",1995,10
"Arizona",1996,11
"Arizona",1997,11
"Arizona",1998,13
"Arizona",1999,16
"Arizona",2000,17
"Arizona",2001,18
"Arizona",2002,19
"Arizona",2003,22
"Arizona",2004,22
"Arizona",2005,23
"Arizona",2006,24
"Arizona",2007,29.1
"Arizona",2008,31
"Arizona",2009,35
"Arizona",2010,42
"Arizona",2011,43
"Arizona",2012,43
"Arizona",2013,37
"Arizona",2014,37
"Arkansas",1970,0
"Arkansas",1971,0
"Arkansas",1972,0
"Arkansas",1973,0
"Arkansas",1974,0
"Arkansas",1975,0
"Arkansas",1976,0
"Arkansas",1977,0
"Arkansas",1978,0
"Arkansas",1979,0
"Arkansas",1980,0
"Arkansas",1981,0
"Arkansas",1982,0
"Arkansas",1983,0
"Arkansas",1984,0
"Arkansas",1985,0
"Arkansas",1986,0
"Arkansas",1987,5
"Arkansas",1988,5
"Arkansas",1989,5
"Arkansas",1990,7
"Arkansas",1991,8
"Arkansas",1992,9
"Arkansas",1993,9
"Arkansas",1994,8
"Arkansas",1995,8
"Arkansas",1996,8
"Arkansas",1997,9
"Arkansas",1998,10
"Arkansas",1999,13
"Arkansas",2000,13
"Arkansas",2001,14
"Arkansas",2002,16
"Arkansas",2003,16
"Arkansas",2004,18
"Arkansas",2005,21
"Arkansas",2006,22
"Arkansas",2007,22
"Arkansas",2008,24
"Arkansas",2009,32
"Arkansas",2010,33
"Arkansas",2011,33
"Arkansas",2012,33
"Arkansas",2013,33
"Arkansas",2014,36
"California",1970,2
"California",1971,2
"California",1972,2
"California",1973,2
"California",1974,3
"California",1975,3
"California",1976,3
"California",1977,4
"California",1978,4
"California",1979,4
"California",1980,4
"California",1981,5
"California",1982,5
"California",1983,5
"California",1984,6
"California",1985,6
"California",1986,7
"California",1987,8
"California",1988,8
"California",1989,10
"California",1990,11
"California",1991,14
"California",1992,15
"California",1993,14
"California",1994,14
"California",1995,14
"California",1996,14
"California",1997,15
"California",1998,16
"California",1999,25
"California",2000,26
"California",2001,27
"California",2002,28
"California",2003,28
"California",2004,28
"California",2005,29
"California",2006,29
"California",2007,30
"California",2008,31
"California",2009,37
"California",2010,39
"California",2011,39
"California",2012,39
"California",2013,41
"California",2014,41
"Colorado",1970,0
"Colorado",1971,0
"Colorado",1972,0
"Colorado",1973,0
"Colorado",1974,0
"Colorado",1975,0
"Colorado",1976,0
"Colorado",1977,0
"Colorado",1978,0
"Colorado",1979,0
"Colorado",1980,0
"Colorado",1981,0
"Colorado",1982,0
"Colorado",1983,0
"Colorado",1984,0
"Colorado",1985,0
"Colorado",1986,0
"Colorado",1987,0
"Colorado",1988,0
"Colorado",1989,0
"Colorado",1990,0
"Colorado",1991,0
"Colorado",1992,0
"Colorado",1993,0
"Colorado",1994,0
"Colorado",1995,0
"Colorado",1996,0
"Colorado",1997,0
"Colorado",1998,0
"Colorado",1999,0
"Colorado",2000,0
"Colorado",2001,0
"Colorado",2002,0
"Colorado",2003,0
"Colorado",2004,0
"Colorado",2005,0
"Colorado",2006,0
"Colorado",2007,0
"Colorado",2008,0
"Colorado",2009,0
"Colorado",2010,15
"Colorado",2011,15
"Colorado",2012,15
"Colorado",2013,16
"Colorado",2014,16
"Connecticut",1970,0
"Connecticut",1971,0
"Connecticut",1972,0
"Connecticut",1973,0
"Connecticut",1974,0
"Connecticut",1975,0
"Connecticut",1976,0
"Connecticut",1977,0
"Connecticut",1978,0
"Connecticut",1979,0
"Connecticut",1980,6
"Connecticut",1981,6
"Connecticut",1982,7
"Connecticut",1983,8
"Connecticut",1984,8
"Connecticut",1985,8
"Connecticut",1986,9
"Connecticut",1987,10
"Connecticut",1988,11
"Connecticut",1989,14
"Connecticut",1990,14
"Connecticut",1991,11
"Connecticut",1992,12
"Connecticut",1993,12
"Connecticut",1994,12
"Connecticut",1995,12
"Connecticut",1996,13
"Connecticut",1997,13
"Connecticut",1998,14
"Connecticut",1999,19
"Connecticut",2000,19
"Connecticut",2001,21
"Connecticut",2002,26
"Connecticut",2003,28
"Connecticut",2004,28
"Connecticut",2005,28
"Connecticut",2006,28
"Connecticut",2007,32
"Connecticut",2008,33
"Connecticut",2009,44
"Connecticut",2010,45
"Connecticut",2011,48
"Connecticut",2012,52
"Connecticut",2013,52
"Connecticut",2014,52
"Delaware",1970,0
"Delaware",1971,0
"Delaware",1972,0
"Delaware",1973,0
"Delaware",1974,0
"Delaware",1975,0
"Delaware",1976,0
"Delaware",1977,0
"Delaware",1978,0
"Delaware",1979,0
"Delaware",1980,0
"Delaware",1981,0
"Delaware",1982,0
"Delaware",1983,0
"Delaware",1984,0
"Delaware",1985,0
"Delaware",1986,0
"Delaware",1987,0
"Delaware",1988,0
"Delaware",1989,0
"Delaware",1990,0
"Delaware",1991,0
"Delaware",1992,0
"Delaware",1993,0
"Delaware",1994,0
"Delaware",1995,0
"Delaware",1996,0
"Delaware",1997,0
"Delaware",1998,0
"Delaware",1999,0
"Delaware",2000,0
"Delaware",2001,0
"Delaware",2002,0
"Delaware",2003,0
"Delaware",2004,0
"Delaware",2005,0
"Delaware",2006,0
"Delaware",2007,0
"Delaware",2008,0
"Delaware",2009,0
"Delaware",2010,0
"Delaware",2011,0
"Delaware",2012,0
"Delaware",2013,0
"Delaware",2014,0
"District of Columbia",1970,2
"District of Columbia",1971,2
"District of Columbia",1972,2
"District of Columbia",1973,2
"District of Columbia",1974,2
"District of Columbia",1975,3
"District of Columbia",1976,3
"District of Columbia",1977,3
"District of Columbia",1978,3
"District of Columbia",1979,3
"District of Columbia",1980,4
"District of Columbia",1981,5
"District of Columbia",1982,5
"District of Columbia",1983,6
"District of Columbia",1984,6
"District of Columbia",1985,6
"District of Columbia",1986,7
"District of Columbia",1987,8
"District of Columbia",1988,8
"District of Columbia",1989,9
"District of Columbia",1990,9
"District of Columbia",1991,11
"District of Columbia",1992,13
"District of Columbia",1993,13
"District of Columbia",1994,13
"District of Columbia",1995,13
"District of Columbia",1996,13
"District of Columbia",1997,14
"District of Columbia",1998,15
"District of Columbia",1999,19
"District of Columbia",2000,20
"District of Columbia",2001,21
"District of Columbia",2002,22
"District of Columbia",2003,23
"District of Columbia",2004,24
"District of Columbia",2005,25
"District of Columbia",2006,25
"District of Columbia",2007,25
"District of Columbia",2008,29
"District of Columbia",2009,40
"District of Columbia",2010,43
"District of Columbia",2011,0
"District of Columbia",2012,0
"District of Columbia",2013,0
"District of Columbia",2014,0
"Florida",1970,2
"Florida",1971,2
"Florida",1972,2
"Florida",1973,3
"Florida",1974,3
"Florida",1975,3
"Florida",1976,3
"Florida",1977,3
"Florida",1978,3
"Florida",1979,3
"Florida",1980,3
"Florida",1981,3
"Florida",1982,5
"Florida",1983,5
"Florida",1984,5
"Florida",1985,5
"Florida",1986,6
"Florida",1987,7
"Florida",1988,8
"Florida",1989,9
"Florida",1990,11
"Florida",1991,11
"Florida",1992,12
"Florida",1993,10
"Florida",1994,10
"Florida",1995,11
"Florida",1996,11
"Florida",1997,11
"Florida",1998,13
"Florida",1999,17
"Florida",2000,18
"Florida",2001,20
"Florida",2002,20
"Florida",2003,20
"Florida",2004,20
"Florida",2005,21
"Florida",2006,21
"Florida",2007,21
"Florida",2008,21
"Florida",2009,33
"Florida",2010,33
"Florida",2011,33
"Florida",2012,33
"Florida",2013,33
"Florida",2014,33
"Georgia",1970,2
"Georgia",1971,2
"Georgia",1972,3
"Georgia",1973,1
"Georgia",1974,1
"Georgia",1975,1
"Georgia",1976,1
"Georgia",1977,1
"Georgia",1978,1
"Georgia",1979,1
"Georgia",1980,2
"Georgia",1981,2
"Georgia",1982,2
"Georgia",1983,2
"Georgia",1984,2
"Georgia",1985,2
"Georgia",1986,3
"Georgia",1987,3
"Georgia",1988,4
"Georgia",1989,4
"Georgia",1990,4
"Georgia",1991,5
"Georgia",1992,6
"Georgia",1993,5
"Georgia",1994,5
"Georgia",1995,5
"Georgia",1996,5
"Georgia",1997,5
"Georgia",1998,6
"Georgia",1999,8
"Georgia",2000,9
"Georgia",2001,9
"Georgia",2002,9
"Georgia",2003,10
"Georgia",2004,13
"Georgia",2005,14
"Georgia",2006,14
"Georgia",2007,14
"Georgia",2008,15
"Georgia",2009,18
"Georgia",2010,18
"Georgia",2011,19
"Georgia",2012,18
"Georgia",2013,18
"Georgia",2014,19
"Hawaii",1970,2
"Hawaii",1971,2
"Hawaii",1972,2
"Hawaii",1973,2
"Hawaii",1974,2
"Hawaii",1975,2
"Hawaii",1976,2
"Hawaii",1977,2
"Hawaii",1978,3
"Hawaii",1979,3
"Hawaii",1980,3
"Hawaii",1981,3
"Hawaii",1982,4
"Hawaii",1983,4
"Hawaii",1984,4
"Hawaii",1985,4
"Hawaii",1986,5
"Hawaii",1987,6
"Hawaii",1988,6
"Hawaii",1989,7
"Hawaii",1990,7
"Hawaii",1991,8
"Hawaii",1992,9
"Hawaii",1993,9
"Hawaii",1994,9
"Hawaii",1995,9
"Hawaii",1996,9
"Hawaii",1997,10
"Hawaii",1998,12
"Hawaii",1999,15
"Hawaii",2000,16
"Hawaii",2001,17
"Hawaii",2002,18
"Hawaii",2003,19
"Hawaii",2004,20
"Hawaii",2005,20
"Hawaii",2006,21
"Hawaii",2007,23
"Hawaii",2008,23
"Hawaii",2009,30
"Hawaii",2010,34
"Hawaii",2011,35
"Hawaii",2012,34
"Hawaii",2013,35
"Hawaii",2014,35
"Idaho",1970,1
"Idaho",1971,1
"Idaho",1972,1
"Idaho",1973,1
"Idaho",1974,1
"Idaho",1975,1
"Idaho",1976,2
"Idaho",1977,2
"Idaho",1978,2
"Idaho",1979,2
"Idaho",1980,2
"Idaho",1981,2
"Idaho",1982,2
"Idaho",1983,4
"Idaho",1984,4
"Idaho",1985,4
"Idaho",1986,5
"Idaho",1987,6
"Idaho",1988,7
"Idaho",1989,7
"Idaho",1990,7
"Idaho",1991,8
"Idaho",1992,9
"Idaho",1993,8
"Idaho",1994,8
"Idaho",1995,9
"Idaho",1996,9
"Idaho",1997,9
"Idaho",1998,10
"Idaho",1999,14
"Idaho",2000,15
"Idaho",2001,16
"Idaho",2002,16
"Idaho",2003,21
"Idaho",2004,21
"Idaho",2005,18
"Idaho",2006,18
"Idaho",2007,22
"Idaho",2008,23
"Idaho",2009,27
"Idaho",2010,28
"Idaho",2011,29
"Idaho",2012,29
"Idaho",2013,29
"Idaho",2014,30
"Illinois",1970,2
"Illinois",1971,2
"Illinois",1972,2
"Illinois",1973,2
"Illinois",1974,2
"Illinois",1975,2
"Illinois",1976,2
"Illinois",1977,2
"Illinois",1978,2
"Illinois",1979,3
"Illinois",1980,3
"Illinois",1981,3
"Illinois",1982,4
"Illinois",1983,4
"Illinois",1984,5
"Illinois",1985,5
"Illinois",1986,7
"Illinois",1987,8
"Illinois",1988,8
"Illinois",1989,9
"Illinois",1990,10
"Illinois",1991,11
"Illinois",1992,13
"Illinois",1993,11
"Illinois",1994,11
"Illinois",1995,12
"Illinois",1996,12
"Illinois",1997,13
"Illinois",1998,15
"Illinois",1999,20
"Illinois",2000,20
"Illinois",2001,21
"Illinois",2002,25
"Illinois",2003,25
"Illinois",2004,27
"Illinois",2005,27
"Illinois",2006,30
"Illinois",2007,31
"Illinois",2008,31
"Illinois",2009,35
"Illinois",2010,37
"Illinois",2011,37
"Illinois",2012,43
"Illinois",2013,44
"Illinois",2014,45
"Indiana",1970,1
"Indiana",1971,1
"Indiana",1972,1
"Indiana",1973,1
"Indiana",1974,1
"Indiana",1975,1
"Indiana",1976,2
"Indiana",1977,2
"Indiana",1978,2
"Indiana",1979,2
"Indiana",1980,2
"Indiana",1981,3
"Indiana",1982,3
"Indiana",1983,4
"Indiana",1984,4
"Indiana",1985,4
"Indiana",1986,5
"Indiana",1987,6
"Indiana",1988,6
"Indiana",1989,6
"Indiana",1990,7
"Indiana",1991,8
"Indiana",1992,9
"Indiana",1993,8
"Indiana",1994,8
"Indiana",1995,8
"Indiana",1996,8
"Indiana",1997,8
"Indiana",1998,9
"Indiana",1999,13
"Indiana",2000,14
"Indiana",2001,15
"Indiana",2002,20
"Indiana",2003,21
"Indiana",2004,21
"Indiana",2005,21
"Indiana",2006,21
"Indiana",2007,25
"Indiana",2008,29
"Indiana",2009,34
"Indiana",2010,36
"Indiana",2011,36
"Indiana",2012,36
"Indiana",2013,37
"Indiana",2014,38
"Iowa",1970,1
"Iowa",1971,1
"Iowa",1972,1
"Iowa",1973,1
"Iowa",1974,2
"Iowa",1975,2
"Iowa",1976,2
"Iowa",1977,2
"Iowa",1978,2
"Iowa",1979,2
"Iowa",1980,2
"Iowa",1981,2
"Iowa",1982,3
"Iowa",1983,4
"Iowa",1984,4
"Iowa",1985,4
"Iowa",1986,5
"Iowa",1987,5
"Iowa",1988,6
"Iowa",1989,6
"Iowa",1990,7
"Iowa",1991,8
"Iowa",1992,11
"Iowa",1993,9
"Iowa",1994,9
"Iowa",1995,9
"Iowa",1996,10
"Iowa",1997,10
"Iowa",1998,11
"Iowa",1999,14
"Iowa",2000,15
"Iowa",2001,16
"Iowa",2002,16
"Iowa",2003,17
"Iowa",2004,16
"Iowa",2005,17
"Iowa",2006,17
"Iowa",2007,23
"Iowa",2008,27
"Iowa",2009,32
"Iowa",2010,34
"Iowa",2011,35
"Iowa",2012,35
"Iowa",2013,35
"Iowa",2014,35
"Kansas",1970,1
"Kansas",1971,1
"Kansas",1972,2
"Kansas",1973,2
"Kansas",1974,2
"Kansas",1975,2
"Kansas",1976,2
"Kansas",1977,2
"Kansas",1978,2
"Kansas",1979,2
"Kansas",1980,2
"Kansas",1981,2
"Kansas",1982,2
"Kansas",1983,3
"Kansas",1984,3
"Kansas",1985,3
"Kansas",1986,5
"Kansas",1987,5
"Kansas",1988,5
"Kansas",1989,6
"Kansas",1990,6
"Kansas",1991,7
"Kansas",1992,9
"Kansas",1993,8
"Kansas",1994,8
"Kansas",1995,8
"Kansas",1996,8
"Kansas",1997,9
"Kansas",1998,10
"Kansas",1999,13
"Kansas",2000,14
"Kansas",2001,15
"Kansas",2002,19
"Kansas",2003,21
"Kansas",2004,20
"Kansas",2005,20
"Kansas",2006,21
"Kansas",2007,22
"Kansas",2008,22
"Kansas",2009,25
"Kansas",2010,31
"Kansas",2011,32
"Kansas",2012,32
"Kansas",2013,32
"Kansas",2014,32
"Kentucky",1970,2
"Kentucky",1971,2
"Kentucky",1972,2
"Kentucky",1973,2
"Kentucky",1974,2
"Kentucky",1975,2
"Kentucky",1976,2
"Kentucky",1977,2
"Kentucky",1978,2
"Kentucky",1979,2
"Kentucky",1980,2
"Kentucky",1981,3
"Kentucky",1982,3
"Kentucky",1983,4
"Kentucky",1984,4
"Kentucky",1985,4
"Kentucky",1986,5
"Kentucky",1987,5
"Kentucky",1988,5
"Kentucky",1989,6
"Kentucky",1990,6
"Kentucky",1991,8
"Kentucky",1992,9
"Kentucky",1993,8
"Kentucky",1994,8
"Kentucky",1995,8
"Kentucky",1996,9
"Kentucky",1997,9
"Kentucky",1998,11
"Kentucky",1999,15
"Kentucky",2000,16
"Kentucky",2001,17
"Kentucky",2002,18
"Kentucky",2003,19
"Kentucky",2004,18
"Kentucky",2005,20
"Kentucky",2006,20
"Kentucky",2007,20
"Kentucky",2008,21
"Kentucky",2009,27
"Kentucky",2010,27
"Kentucky",2011,28
"Kentucky",2012,29
"Kentucky",2013,29
"Kentucky",2014,29
"Louisiana",1970,1
"Louisiana",1971,1
"Louisiana",1972,1
"Louisiana",1973,1
"Louisiana",1974,2
"Louisiana",1975,2
"Louisiana",1976,2
"Louisiana",1977,2
"Louisiana",1978,2
"Louisiana",1979,2
"Louisiana",1980,2
"Louisiana",1981,2
"Louisiana",1982,3
"Louisiana",1983,3
"Louisiana",1984,4
"Louisiana",1985,4
"Louisiana",1986,5
"Louisiana",1987,5
"Louisiana",1988,5
"Louisiana",1989,6
"Louisiana",1990,6
"Louisiana",1991,7
"Louisiana",1992,8
"Louisiana",1993,7
"Louisiana",1994,7
"Louisiana",1995,7
"Louisiana",1996,7
"Louisiana",1997,7
"Louisiana",1998,8
"Louisiana",1999,11
"Louisiana",2000,12
"Louisiana",2001,13
"Louisiana",2002,13
"Louisiana",2003,14
"Louisiana",2004,14
"Louisiana",2005,14
"Louisiana",2006,14
"Louisiana",2007,14
"Louisiana",2008,15
"Louisiana",2009,18
"Louisiana",2010,18
"Louisiana",2011,19
"Louisiana",2012,19
"Louisiana",2013,19
"Louisiana",2014,19
"Maine",1970,0
"Maine",1971,0
"Maine",1972,0
"Maine",1973,0
"Maine",1974,0
"Maine",1975,0
"Maine",1976,0
"Maine",1977,0
"Maine",1978,0
"Maine",1979,0
"Maine",1980,0
"Maine",1981,0
"Maine",1982,0
"Maine",1983,0
"Maine",1984,5
"Maine",1985,5
"Maine",1986,6
"Maine",1987,7
"Maine",1988,7
"Maine",1989,8
"Maine",1990,8
"Maine",1991,11
"Maine",1992,11
"Maine",1993,11
"Maine",1994,11
"Maine",1995,11
"Maine",1996,11
"Maine",1997,13
"Maine",1998,15
"Maine",1999,18
"Maine",2000,18
"Maine",2001,20
"Maine",2002,21
"Maine",2003,21
"Maine",2004,20
"Maine",2005,26
"Maine",2006,26
"Maine",2007,27
"Maine",2008,28
"Maine",2009,31
"Maine",2010,32
"Maine",2011,33
"Maine",2012,32
"Maine",2013,32
"Maine",2014,36
"Maryland",1970,2
"Maryland",1971,2
"Maryland",1972,2
"Maryland",1973,2
"Maryland",1974,2
"Maryland",1975,2
"Maryland",1976,2
"Maryland",1977,2
"Maryland",1978,3
"Maryland",1979,3
"Maryland",1980,0
"Maryland",1981,0
"Maryland",1982,0
"Maryland",1983,0
"Maryland",1984,0
"Maryland",1985,0
"Maryland",1986,0
"Maryland",1987,0
"Maryland",1988,0
"Maryland",1989,0
"Maryland",1990,0
"Maryland",1991,8
"Maryland",1992,10
"Maryland",1993,9
"Maryland",1994,9
"Maryland",1995,9
"Maryland",1996,10
"Maryland",1997,11
"Maryland",1998,11
"Maryland",1999,16
"Maryland",2000,17
"Maryland",2001,18
"Maryland",2002,20
"Maryland",2003,20
"Maryland",2004,20
"Maryland",2005,20
"Maryland",2006,21
"Maryland",2007,21
"Maryland",2008,33
"Maryland",2009,37
"Maryland",2010,37
"Maryland",2011,38
"Maryland",2012,38
"Maryland",2013,38
"Maryland",2014,39
"Massachusetts",1970,0
"Massachusetts",1971,0
"Massachusetts",1972,0
"Massachusetts",1973,0
"Massachusetts",1974,0
"Massachusetts",1975,0
"Massachusetts",1976,0
"Massachusetts",1977,0
"Massachusetts",1978,0
"Massachusetts",1979,0
"Massachusetts",1980,0
"Massachusetts",1981,0
"Massachusetts",1982,0
"Massachusetts",1983,0
"Massachusetts",1984,0
"Massachusetts",1985,0
"Massachusetts",1986,0
"Massachusetts",1987,0
"Massachusetts",1988,7
"Massachusetts",1989,8
"Massachusetts",1990,9
"Massachusetts",1991,9
"Massachusetts",1992,9
"Massachusetts",1993,10
"Massachusetts",1994,10
"Massachusetts",1995,10
"Massachusetts",1996,12
"Massachusetts",1997,13
"Massachusetts",1998,14
"Massachusetts",1999,18
"Massachusetts",2000,19
"Massachusetts",2001,20
"Massachusetts",2002,24
"Massachusetts",2003,26
"Massachusetts",2004,25
"Massachusetts",2005,25
"Massachusetts",2006,25
"Massachusetts",2007,26
"Massachusetts",2008,32
"Massachusetts",2009,45
"Massachusetts",2010,46
"Massachusetts",2011,47
"Massachusetts",2012,47
"Massachusetts",2013,54
"Massachusetts",2014,55
"Michigan",1970,2
"Michigan",1971,1
"Michigan",1972,1
"Michigan",1973,2
"Michigan",1974,2
"Michigan",1975,2
"Michigan",1976,2
"Michigan",1977,2
"Michigan",1978,2
"Michigan",1979,2
"Michigan",1980,2
"Michigan",1981,3
"Michigan",1982,3
"Michigan",1983,3
"Michigan",1984,3
"Michigan",1985,3
"Michigan",1986,4
"Michigan",1987,4
"Michigan",1988,5
"Michigan",1989,5
"Michigan",1990,6
"Michigan",1991,7
"Michigan",1992,7
"Michigan",1993,7
"Michigan",1994,13
"Michigan",1995,14
"Michigan",1996,14
"Michigan",1997,15
"Michigan",1998,16
"Michigan",1999,20
"Michigan",2000,21
"Michigan",2001,22
"Michigan",2002,26
"Michigan",2003,26
"Michigan",2004,30
"Michigan",2005,31
"Michigan",2006,32
"Michigan",2007,32
"Michigan",2008,33
"Michigan",2009,37
"Michigan",2010,37
"Michigan",2011,38
"Michigan",2012,38
"Michigan",2013,39
"Michigan",2014,39
"Minnesota",1970,0
"Minnesota",1971,0
"Minnesota",1972,0
"Minnesota",1973,0
"Minnesota",1974,0
"Minnesota",1975,0
"Minnesota",1976,0
"Minnesota",1977,0
"Minnesota",1978,0
"Minnesota",1979,0
"Minnesota",1980,0
"Minnesota",1981,0
"Minnesota",1982,4
"Minnesota",1983,6
"Minnesota",1984,6
"Minnesota",1985,6
"Minnesota",1986,7
"Minnesota",1987,9
"Minnesota",1988,9
"Minnesota",1989,10
"Minnesota",1990,11
"Minnesota",1991,13
"Minnesota",1992,14
"Minnesota",1993,13
"Minnesota",1994,13
"Minnesota",1995,13
"Minnesota",1996,14
"Minnesota",1997,14
"Minnesota",1998,15
"Minnesota",1999,19
"Minnesota",2000,20
"Minnesota",2001,22
"Minnesota",2002,23
"Minnesota",2003,23
"Minnesota",2004,23
"Minnesota",2005,0
"Minnesota",2006,0
"Minnesota",2007,0
"Minnesota",2008,0
"Minnesota",2009,0
"Minnesota",2010,0
"Minnesota",2011,0
"Minnesota",2012,0
"Minnesota",2013,0
"Minnesota",2014,0
"Mississippi",1970,2
"Mississippi",1971,2
"Mississippi",1972,2
"Mississippi",1973,2
"Mississippi",1974,2
"Mississippi",1975,2
"Mississippi",1976,3
"Mississippi",1977,3
"Mississippi",1978,3
"Mississippi",1979,3
"Mississippi",1980,3
"Mississippi",1981,4
"Mississippi",1982,4
"Mississippi",1983,4
"Mississippi",1984,5
"Mississippi",1985,5
"Mississippi",1986,7
"Mississippi",1987,8
"Mississippi",1988,8
"Mississippi",1989,8
"Mississippi",1990,9
"Mississippi",1991,10
"Mississippi",1992,11
"Mississippi",1993,11
"Mississippi",1994,11
"Mississippi",1995,11
"Mississippi",1996,12
"Mississippi",1997,12
"Mississippi",1998,14
"Mississippi",1999,19
"Mississippi",2000,20
"Mississippi",2001,21
"Mississippi",2002,22
"Mississippi",2003,22
"Mississippi",2004,22
"Mississippi",2005,22
"Mississippi",2006,22
"Mississippi",2007,24
"Mississippi",2008,24
"Mississippi",2009,32
"Mississippi",2010,33
"Mississippi",2011,35
"Mississippi",2012,34
"Mississippi",2013,34
"Mississippi",2014,36
"Missouri",1970,1
"Missouri",1971,1
"Missouri",1972,1
"Missouri",1973,1
"Missouri",1974,1
"Missouri",1975,1
"Missouri",1976,2
"Missouri",1977,1
"Missouri",1978,2
"Missouri",1979,2
"Missouri",1980,2
"Missouri",1981,2
"Missouri",1982,2
"Missouri",1983,3
"Missouri",1984,3
"Missouri",1985,3
"Missouri",1986,4
"Missouri",1987,4
"Missouri",1988,5
"Missouri",1989,5
"Missouri",1990,6
"Missouri",1991,7
"Missouri",1992,7
"Missouri",1993,6
"Missouri",1994,6
"Missouri",1995,7
"Missouri",1996,7
"Missouri",1997,7
"Missouri",1998,8
"Missouri",1999,11
"Missouri",2000,12
"Missouri",2001,13
"Missouri",2002,13
"Missouri",2003,13
"Missouri",2004,13
"Missouri",2005,14
"Missouri",2006,14
"Missouri",2007,14
"Missouri",2008,14
"Missouri",2009,17
"Missouri",2010,17
"Missouri",2011,18
"Missouri",2012,18
"Missouri",2013,19
"Missouri",2014,19
"Montana",1970,0
"Montana",1971,0
"Montana",1972,0
"Montana",1973,0
